Sample Number,Sample Site Identification Number,Site Name,Site Location (lat),Site Location (long),Site Province,District Name,Local Municipality,Epi Week,Sample Collection Date,Concentration method,Measles Concentration (copies/uL),Measles Partitions (positive),Measles Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2268_C,COE-TMM-24-43-B,Tembisa Mall,-25.9606666,28.2061406,Gauteng,Ekurhuleni MM,,43,2024/10/24,Centricon,0.387,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2270_C,COE-OLI-24-43-B,Olifantsfontein,-25.9433795,28.2142229,Gauteng,Ekurhuleni MM,,43,2024/10/24,Centricon,0.411,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2279_C,ENV-SOA-WCP-CAT-ZDV-24-0042,Zandvleit Wastewater Treatment Works,-26.1335593,28.1170562,Western cape,City of Cape Town,,43,2024/10/22,Centricon,0.412,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2250_C,ENV-SOA-GAP-JBM-NWT-24-0040,Northern Wastewater Treatment Works (GP),-25.9454325,27.9944446,Gauteng,Johannesburg MM,,43,2024/10/22,Centricon,6.628,17,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2254_C,COJ-BKI-24-43-A,Bushkoppies Inlet,-26.3057229,27.9313022,Gauteng,Johannesburg MM,,43,2024/10/23,Centricon,0.811,2,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0213_S77,COT-KAH-25-07-B,Kalafong Hospital,-25.7619658,28.0879978,Gauteng,Tshwane MM,,7,2025/02/14,Dynabeads,13.42,34,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0229,COT-KAH-25-08-A,Kalafong Hospital,-25.7615429,28.0875141,Gauteng,Tshwane MM,,8,2025/02/18,Dynabeads,0.776,2,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0332,COT-KAH-25-11-A,Kalafong Hospital,-25.7616734,28.0878553,Gauteng,Tshwane MM,,11,2025/03/11,Dynabeads,4.331,11,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0357,COE-SAG-25-12-A,Sasol Garage,-26.0173445,28.2159181,Gauteng,Ekurhuleni MM,,12,2025/03/17,Dynabeads,0.388,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0402,COJ-BKI-25-13-A,Bushkoppies Inlet,-26.3057358,27.9313884,Gauteng,Johannesburg MM,,13,2025/03/26,Dynabeads,0.396,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0510,COT-GRK-25-16-A,Groenkloof,-25.7887561,28.1965253,Gauteng,Tshwane MM,,16,2025/04/15,Dynabeads,10.62,27,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0520,COE-TMM-25-16-B,Tembisa Mall,-25.9604661,28.2055274,Gauteng,Ekurhuleni MM,,16,2025/04/17,Dynabeads,0.416,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0578,COT-GRK-25-19-A,Groenkloof,-25.7840036,28.1964562,Gauteng,Tshwane MM,,19,2025/05/06,Dynabeads,1.2,3,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0584,COJ-MOT-25-19-A,Motsoaledi,-26.2608207,27.9338543,Gauteng,Johannesburg MM,,19,2025/05/07,Dynabeads,0.41,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0591,COE-OLI-25-19-B,Olifantsfontein,-25.943432,28.2142028,Gauteng,Ekurhuleni MM,,19,2025/05/08,Dynabeads,0.407,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0608,COT-KAH-25-20-A,Kalafong Hospital,-25.7618969,28.0878776,Gauteng,Tshwane MM,,20,2025/05/13,Dynabeads,0.42,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT-WGS-25-0216,COT-DAS-25-11-A,Daspoort Wastewater Treatment Works,-25.7332754,28.1712041,Gauteng,Tshwane MM,,11,2025/03/11,Dynabeads,0.382,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT-WGS-25-0327,Olifantsfontein,Olifantsfontein,-25.943392,28.2141584,Gauteng,Ekurhuleni MM,,15,2025/04/10,Dynabeads,0.392,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
