,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
MZ031252.1,Measles virus genotype D8,9061950497,genotype: D8,MVi/Marseille.FRA/26.19/2[D8],Homo sapiens,France,2019-06-01,Jun-2019,D8,France,
MZ031251.1,Measles virus genotype D8,9061887712,genotype: D8,MVi/Marseille.FRA/23.19/5[D8],Homo sapiens,France,2019-06-01,Jun-2019,D8,France,
MZ031250.1,Measles virus genotype D8,9061884041/9061891114,genotype: D8,MVi/Marseille.FRA/23.19/7[D8],Homo sapiens,France,2019-06-01,Jun-2019,D8,France,
MZ031249.1,Measles virus genotype D8,9061879902,genotype: D8,MVi/Marseille.FRA/23.19/6[D8],Homo sapiens,France,2019-06-01,Jun-2019,D8,France,
MZ031248.1,Measles virus genotype D8,9061878950,genotype: D8,MVi/Marseille.FRA/23.19/1[D8],Homo sapiens,France,2019-06-01,Jun-2019,D8,France,
MZ031247.1,Measles virus genotype D8,9051870426/9061875901/9051874593,genotype: D8,MVi/Marseille.FRA/22.19/4[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031246.1,Measles virus genotype D8,9051869320,genotype: D8,MVi/Marseille.FRA/22.19/1[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031245.1,Measles virus genotype D8,9051854863/9051854872,genotype: D8,MVi/Marseille.FRA/21.19/15[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031244.1,Measles virus genotype D8,9051818569/9051845024,genotype: D8,MVi/Marseille.FRA/20.19/5[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031243.1,Measles virus genotype D8,9051849737/9092162771,genotype: D8,MVi/Marseille.FRA/21.19/4[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031242.1,Measles virus genotype D8,9051844146/9071994850,genotype: D8,MVi/Marseille.FRA/21.19/11[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031241.1,Measles virus genotype B3,9051836467/9061923651,genotype: B3,MVi/Marseille.FRA/21.19/1[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
MZ031240.1,Measles virus genotype D8,9061923678/9051834309,genotype: D8,MVi/Marseille.FRA/21.19/20[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031239.1,Measles virus genotype D8,9061923547/9051834266,genotype: D8,MVi/Marseille.FRA/21.19/19[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031238.1,Measles virus genotype D8,9051833628/9061923670,genotype: D8,MVi/Marseille.FRA/21.19/10[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031237.1,Measles virus genotype D8,9051833550/9071994177,genotype: D8,MVi/Marseille.FRA/21.19/9[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031236.1,Measles virus genotype D8,9061923551,genotype: D8,MVi/Marseille.FRA/21.19/18[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031235.1,Measles virus genotype D8,9051834304,genotype: D8,MVi/Marseille.FRA/20.19/3[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031234.1,Measles virus genotype D8,9071994168,genotype: D8,MVi/Marseille.FRA/20.19/2[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031233.1,Measles virus genotype D8,9051818850/9061923664,genotype: D8,MVi/Marseille.FRA/20.19/4[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031232.1,Measles virus genotype D8,9061923556,genotype: D8,MVi/Marseille.FRA/20.19/6[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031231.1,Measles virus genotype B3,9071994207/9051794602,genotype: B3,MVi/Marseille.FRA/19.19/19[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
MZ031230.1,Measles virus genotype D8,9051811013/9071994192,genotype: D8,MVi/Marseille.FRA/19.19/16[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031229.1,Measles virus genotype B3,9051799799/9061923562,genotype: B3,MVi/Marseille.FRA/19.19/5[D8],Homo sapiens,France,2019-05-01,May-2019,B3,France,
MZ031228.1,Measles virus genotype D8,9051803660/9061923579,genotype: D8,MVi/Marseille.FRA/19.19/6[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031227.1,Measles virus genotype D8,9051799258,genotype: D8,MVi/Marseille.FRA/19.19/1[B3],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031226.1,Measles virus genotype B3,9051795494/9061923698,genotype: B3,MVi/Marseille.FRA/19.19/8[B3],Homo sapiens,France,2019-05-01,May-2019,B3,France,
MZ031225.1,Measles virus genotype D8,9051793560/9061923597,genotype: D8,MVi/Marseille.FRA/19.19/4[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031224.1,Measles virus genotype D8,9051789003,genotype: D8,MVi/Marseille.FRA/19.19/3[D8],Homo sapiens,France,2019-05-01,May-2019,D8,France,
MZ031223.1,Measles virus genotype D8,9041764942/9092162721,genotype: D8,MVi/Marseille.FRA/17.19/3[D8],Homo sapiens,France,2019-04-01,Apr-2019,D8,France,
MZ031222.1,Measles virus genotype D8,9041751521,genotype: D8,MVi/Marseille.FRA/17.19/1[D8],Homo sapiens,France,2019-04-01,Apr-2019,D8,France,
MZ031221.1,Measles virus genotype D8,9041741402/9092162744,genotype: D8,MVi/Marseille.FRA/16.19/1[D8],Homo sapiens,France,2019-04-01,Apr-2019,D8,France,
MZ031220.1,Measles virus genotype D8,9092162749,genotype: D8,MVi/Marseille.FRA/15.19/1[D8],Homo sapiens,France,2019-04-01,Apr-2019,D8,France,
MZ031219.1,Measles virus genotype D8,9041709026/9041709026,genotype: D8,MVi/Marseille.FRA/15.19/2[D8],Homo sapiens,France,2019-04-01,Apr-2019,D8,France,
MZ031218.1,Measles virus genotype D8,9092162732,genotype: D8,MVi/Marseille.FRA/14.19/1[D8],Homo sapiens,France,2019-04-01,Apr-2019,D8,France,
MZ031217.1,Measles virus genotype D8,9031675211,genotype: D8,MVi/Marseille.FRA/13.19/2[D8],Homo sapiens,France,2019-03-01,Mar-2019,D8,France,
MZ031216.1,Measles virus genotype D8,9031676138/9031676145,genotype: D8,MVi/Marseille.FRA/13.19/1[D8],Homo sapiens,France,2019-03-01,Mar-2019,D8,France,
MZ031215.1,Measles virus genotype D8,8101109102,genotype: D8,MVi/Marseille.FRA/40.18/1[D8],Homo sapiens,France,2018-10-01,Oct-2018,D8,France,
MZ031214.1,Measles virus genotype D8,8091066845,genotype: D8,MVi/Marseille.FRA/38.18/1[D8],Homo sapiens,France,2018-09-01,Sep-2018,D8,France,
MZ031213.1,Measles virus genotype D8,8091043227,genotype: D8,MVi/Marseille.FRA/37.18/3[D8],Homo sapiens,France,2018-09-01,Sep-2018,D8,France,
MZ031212.1,Measles virus genotype D8,8091039422,genotype: D8,MVi/Marseille.FRA/37.18/1[D8],Homo sapiens,France,2018-09-01,Sep-2018,D8,France,
MZ031211.1,Measles virus genotype D8,8091039417,genotype: D8,MVi/Marseille.FRA/37.18/2[D8],Homo sapiens,France,2018-09-01,Sep-2018,D8,France,
MZ031210.1,Measles virus genotype D8,8091034662,genotype: D8,MVi/Marseille.FRA/36.18/1[D8],Homo sapiens,France,2018-09-01,Sep-2018,D8,France,
MZ031209.1,Measles virus genotype D8,8081012002,genotype: D8,MVi/Marseille.FRA/35.18/1[D8],Homo sapiens,France,2018-08-01,Aug-2018,D8,France,
MZ031208.1,Measles virus genotype D8,8080988566,genotype: D8,MVi/Marseille.FRA/34.18/1[D8],Homo sapiens,France,2018-08-01,Aug-2018,D8,France,
MZ031207.1,Measles virus genotype D8,8080977962,genotype: D8,MVi/Marseille.FRA/33.18/1[D8],Homo sapiens,France,2018-08-01,Aug-2018,D8,France,
MZ031206.1,Measles virus genotype D8,8080973145,genotype: D8,MVi/Marseille.FRA/33.18/2[D8],Homo sapiens,France,2018-08-01,Aug-2018,D8,France,
MZ031205.1,Measles virus genotype D8,8080940921,genotype: D8,MVi/Marseille.FRA/31.18/2[D8],Homo sapiens,France,2018-08-01,Aug-2018,D8,France,
MZ031204.1,Measles virus genotype D8,8080930245,genotype: D8,MVi/Marseille.FRA/31.18/1[D8],Homo sapiens,France,2018-08-01,Aug-2018,D8,France,
MZ031203.1,Measles virus genotype D8,8070914623,genotype: D8,MVi/Marseille.FRA/30.18/1[D8],Homo sapiens,France,2018-07-01,Jul-2018,D8,France,
MZ031202.1,Measles virus genotype D8,8070893451,genotype: D8,MVi/Marseille.FRA/29.18/2[D8],Homo sapiens,France,2018-07-01,Jul-2018,D8,France,
MZ031201.1,Measles virus genotype D8,8070889483,genotype: D8,MVi/Marseille.FRA/29.18/1[D8],Homo sapiens,France,2018-07-01,Jul-2018,D8,France,
MZ031200.1,Measles virus genotype D8,8070854607,genotype: D8,MVi/Marseille.FRA/28.18/1[D8],Homo sapiens,France,2018-07-01,Jul-2018,D8,France,
MZ031199.1,Measles virus genotype D8,8070847346,genotype: D8,MVi/Marseille.FRA/27.18/3[D8],Homo sapiens,France,2018-07-01,Jul-2018,D8,France,
MZ031198.1,Measles virus genotype D8,8070853968,genotype: D8,MVi/Marseille.FRA/27.18/4[D8],Homo sapiens,France,2018-07-01,Jul-2018,D8,France,
MZ031197.1,Measles virus genotype D8,8070845295,genotype: D8,MVi/Marseille.FRA/27.18/1[D8],Homo sapiens,France,2018-07-01,Jul-2018,D8,France,
MZ031196.1,Measles virus genotype D8,8060826702,genotype: D8,MVi/Marseille.FRA/26.18/1[D8],Homo sapiens,France,2018-06-01,Jun-2018,D8,France,
MZ031195.1,Measles virus genotype D8,8060812943,genotype: D8,MVi/Marseille.FRA/26.18/2[D8],Homo sapiens,France,2018-06-01,Jun-2018,D8,France,
MZ031194.1,Measles virus genotype D8,8060804249,genotype: D8,MVi/Marseille.FRA/25.18/1[D8],Homo sapiens,France,2018-06-01,Jun-2018,D8,France,
MZ031193.1,Measles virus genotype D8,8060759345,genotype: D8,MVi/Marseille.FRA/23.18/2[D8],Homo sapiens,France,2018-06-01,Jun-2018,D8,France,
MZ031192.1,Measles virus genotype D8,8060740790,genotype: D8,MVi/Marseille.FRA/23.18/1[D8],Homo sapiens,France,2018-06-01,Jun-2018,D8,France,
MZ031191.1,Measles virus genotype D8,8050711574,genotype: D8,MVi/Marseille.FRA/21.18/1[D8],Homo sapiens,France,2018-05-01,May-2018,D8,France,
MZ031190.1,Measles virus genotype D8,8050696384,genotype: D8,MVi/Marseille.FRA/21.18/2[D8],Homo sapiens,France,2018-05-01,May-2018,D8,France,
MZ031189.1,Measles virus genotype D8,8050697086,genotype: D8,MVi/Marseille.FRA/20.18/1[D8],Homo sapiens,France,2018-05-01,May-2018,D8,France,
MZ031188.1,Measles virus genotype D8,8040628526,genotype: D8,MVi/Marseille.FRA/17.18/2[D8],Homo sapiens,France,2018-04-01,Apr-2018,D8,France,
MZ031187.1,Measles virus genotype D8,8040615224,genotype: D8,MVi/Marseille.FRA/17.18/1[D8],Homo sapiens,France,2018-04-01,Apr-2018,D8,France,
MZ031186.1,Measles virus genotype D8,8030529948,genotype: D8,MVi/Marseille.FRA/13.18/1[D8],Homo sapiens,France,2018-03-01,Mar-2018,D8,France,
MZ031185.1,Measles virus genotype D8,8030528486,genotype: D8,MVi/Marseille.FRA/12.18/2[D8],Homo sapiens,France,2018-03-01,Mar-2018,D8,France,
MZ031184.1,Measles virus genotype D8,8030515613,genotype: D8,MVi/Marseille.FRA/12.18/1[D8],Homo sapiens,France,2018-03-01,Mar-2018,D8,France,
MZ031183.1,Measles virus genotype D8,8030495946,genotype: D8,MVi/Marseille.FRA/11.18/1[D8],Homo sapiens,France,2018-03-01,Mar-2018,D8,France,
MZ031182.1,Measles virus genotype D8,7072782051,genotype: D8,MVi/Marseille.FRA/31.17/2[D8],Homo sapiens,France,2017-07-01,Jul-2017,D8,France,
MZ031181.1,Measles virus genotype D8,7072782050,genotype: D8,MVi/Marseille.FRA/31.17/1[D8],Homo sapiens,France,2017-07-01,Jul-2017,D8,France,
MZ031180.1,Measles virus genotype D8,7072748275,genotype: D8,MVi/Marseille.FRA/29.17/2[D8],Homo sapiens,France,2017-07-01,Jul-2017,D8,France,
MZ031179.1,Measles virus genotype D8,7072744373,genotype: D8,MVi/Marseille.FRA/29.17/1[D8],Homo sapiens,France,2017-07-01,Jul-2017,D8,France,
MZ031178.1,Measles virus genotype D8,7072709136,genotype: D8,MVi/Marseille.FRA/27.17/2[D8],Homo sapiens,France,2017-07-01,Jul-2017,D8,France,
MZ031177.1,Measles virus genotype D8,7072700351,genotype: D8,MVi/Marseille.FRA/27.17/1[D8],Homo sapiens,France,2017-07-01,Jul-2017,D8,France,
MZ031176.1,Measles virus genotype D8,7062655129,genotype: D8,MVi/Marseille.FRA/25.17/1[D8],Homo sapiens,France,2017-06-01,Jun-2017,D8,France,
MT789849.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/22.19/4[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789848.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/27.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789847.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/5[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789846.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/40.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789845.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/38.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789844.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/23.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789843.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/31.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789842.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/30.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789841.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/29.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789840.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/28.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789839.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/28.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789838.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/26.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789837.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/26.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789836.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/25.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789835.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/25.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789834.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/24.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789833.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/22.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789832.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/18.19/6[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789831.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/19.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789830.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/18.19/5[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789829.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/18.19/3[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789828.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/18.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789827.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/18.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789826.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/6[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789825.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789824.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789823.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/10[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789822.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/15.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789821.1,Measles virus genotype D8,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/13.19/2[D8],Homo sapiens,USA,2019-01-01,2019,D8,USA,
MT789820.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/34.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789819.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/32.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789818.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/22.19/3[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789817.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/20.19/2[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789816.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/18.19/4[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789815.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/17.19/2[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789814.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/15.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789813.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/12.19/3[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789812.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/12.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789811.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/9.19/3[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789810.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/1.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789809.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/50.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789808.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/43.19/2[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789807.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/43.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789806.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/41.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789805.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/22.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789804.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/20.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789803.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/17.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789802.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/4[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789801.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/3[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789800.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/9[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789799.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/8[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789798.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/16.19/7[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789797.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/14.19/2[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789796.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/14.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789795.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/13.19/5[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789794.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/13.19/4[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789793.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/13.19/3[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789792.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/12.19/2[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789791.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/13.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789790.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/9.19/2[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789789.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/9.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MT789788.1,Measles virus genotype B3,,modified by co-transcriptional insertion of non-templated G,MVs/California.USA/7.19/[B3],Homo sapiens,USA,2019-01-01,2019,B3,USA,
MN125030.1,Measles virus genotype D8,141233,genotype: D8,MVi/Haridwar.IND/06.14/2[D8],Homo sapiens,India,2014-02-07,07-Feb-2014,D8,India,
MN125029.1,Measles virus genotype D8,146224,genotype: D8,MVi/Faridabad.IND/22.14[D8],Homo sapiens,India,2014-05-30,30-May-2014,D8,India,
MN125028.1,Measles virus genotype D8,M-15-089-2,genotype: D8,MVi/Udupi.IND/7.15/7,Homo sapiens,India,2015-02-09,09-Feb-2015,D8,India,
MN125027.1,Measles virus genotype D8,141254,genotype: D8,MVi/Haridwar.IND/06.14/5[D8],Homo sapiens,India,2014-02-07,07-Feb-2014,D8,India,
MN125026.1,Measles virus genotype D8,147804,genotype: D8,MVi/NewDelhi.IND/26.14[D8],Homo sapiens,India,2014-06-25,25-Jun-2014,D8,India,
MN125025.1,Measles virus genotype D8,M-14-281-1,genotype: D8,MVi/Kanpur.IND/16.14[D8],Homo sapiens,India,2014-02-17,17-Feb-2014,D8,India,
MN125024.1,Measles virus genotype D8,151659,genotype: D8,MVi/Kutch.IND/06.15[D8],Homo sapiens,India,2015-02-07,07-Feb-2015,D8,India,
MN125023.1,Measles virus genotype D8,155275,genotype: D8,MVi/Gr.Mumbai.IND/10.15[D8],Homo sapiens,India,2015-03-10,10-Mar-2015,D8,India,
MN125022.1,Measles virus genotype D8,15247,genotype: D8,MVi/Gr.Mumbai.IND/01.15[D8],Homo sapiens,India,2014-12-30,30-Dec-2014,D8,India,
MN125021.1,Measles virus genotype D8,15991,genotype: D8,MVi/Bhavnagar.IND/03.15[D8],Homo sapiens,India,2015-01-15,15-Jan-2015,D8,India,
MN125020.1,Measles virus genotype D8,1512319,genotype: D8,MVi/Panna.IND/28.15,Homo sapiens,India,2015-07-19,19-Jul-2015,D8,India,
MN125019.1,Measles virus genotype D8,1520640,genotype: D8,MVi/Bijapur.IND/50.15/2[D8],Homo sapiens,India,2015-12-18,18-Dec-2015,D8,India,
MN125018.1,Measles virus genotype D8,1520639,genotype: D8,MVi/Anand.IND/50.15[D8],Homo sapiens,India,2015-12-18,18-Dec-2015,D8,India,
MT738550.1,Measles virus genotype D8,,translated from P/V/C mRNA modified by co-transcriptional insertion of non-templated G,MVs/Zhoushan.CHN/09.19[D8],Homo sapiens,China,2019-05-01,May-2019,D8,China,
MN893225.1,Measles virus genotype B3,29112018,Measles Inclusion-Body Encephalitis,MVs/Tours.FRA/49.18[B3] (MIBE),Homo sapiens,France,2018-11-29,29-Nov-2018,B3,France,
MN017369.1,Measles virus genotype D11,,genotype: D11,MVi/Menglian.CHN/47.09[D11],Homo sapiens,"China: Yunnan, Menglian",2009-11-18,18-Nov-2009,D11,China,"Yunnan, Menglian"
MK513627.1,Measles virus genotype D8,,C,MVs/Venezia.ITA/22.17/3[D8],Homo sapiens,"Italy: Veneto region, Venezia",2017-05-01,May-2017,D8,Italy,"Veneto region, Venezia"
MK513626.1,Measles virus genotype D8,,C,MVs/Verona.ITA/19.17/2[D8],Homo sapiens,"Italy: Veneto region, Verona",2017-05-01,May-2017,D8,Italy,"Veneto region, Verona"
MK513625.1,Measles virus genotype D8,,C,MVs/Padova.ITA/14.17/3[D8],Homo sapiens,"Italy: Veneto region, Padova",2017-04-01,Apr-2017,D8,Italy,"Veneto region, Padova"
MK513624.1,Measles virus genotype D8,,C,MVs/Padova.ITA/14.17/2[D8],Homo sapiens,"Italy: Veneto region, Padova",2017-04-01,Apr-2017,D8,Italy,"Veneto region, Padova"
MK513623.1,Measles virus genotype D8,,C,MVs/Padova.ITA/13.17/1[D8],Homo sapiens,"Italy: Veneto region, Padova",2017-03-01,Mar-2017,D8,Italy,"Veneto region, Padova"
MK513622.1,Measles virus genotype B3,,C,MVs/Padova.ITA/24.17/1[B3],Homo sapiens,"Italy: Veneto region, Padova",2017-06-01,Jun-2017,B3,Italy,"Veneto region, Padova"
MK513621.1,Measles virus genotype B3,,C,MVs/Padova.ITA/21.17/2[B3],Homo sapiens,"Italy: Veneto region, Padova",2017-05-01,May-2017,B3,Italy,"Veneto region, Padova"
MK513620.1,Measles virus genotype B3,,C,MVs/Padova.ITA/21.17/1[B3],Homo sapiens,"Italy: Veneto region, Padova",2017-05-01,May-2017,B3,Italy,"Veneto region, Padova"
MK513619.1,Measles virus genotype B3,,C,MVs/Padova.ITA/20.17/1[B3],Homo sapiens,"Italy: Veneto region, Padova",2017-05-01,May-2017,B3,Italy,"Veneto region, Padova"
