,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
PV870362.1,Measles virus genotype D8,,genotype: D8,MVs/Zuid-Holland.NLD/23.25/3[D8],Homo sapiens,Netherlands,2025-06-06,06-Jun-2025,D8,Netherlands,
PV870361.1,Measles virus genotype D8,,genotype: D8,MVs/Utrecht.NLD/24.25/2[D8],Homo sapiens,Netherlands,2025-06-11,11-Jun-2025,D8,Netherlands,
PV870360.1,Measles virus genotype D8,,genotype: D8,MVs/Utrecht.NLD/24.25[D8],Homo sapiens,Netherlands,2025-06-11,11-Jun-2025,D8,Netherlands,
PV870359.1,Measles virus genotype D8,,genotype: D8,MVs/Utrecht.NLD/23.25[D8],Homo sapiens,Netherlands,2025-06-05,05-Jun-2025,D8,Netherlands,
PV870358.1,Measles virus genotype D8,,genotype: D8,MVs/Zeeland.NLD/20.25[D8],Homo sapiens,Netherlands,2025-05-18,18-May-2025,D8,Netherlands,
PV870357.1,Measles virus genotype D8,,genotype: D8,MVs/Utrecht.NLD/21.25[D8],Homo sapiens,Netherlands,2025-05-26,26-May-2025,D8,Netherlands,
PV870356.1,Measles virus genotype D8,,genotype: D8,MVs/Gelderland.NLD/20.25[D8],Homo sapiens,Netherlands,2025-05-16,16-May-2025,D8,Netherlands,
PV870355.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/6.25/3[D8],Homo sapiens,Netherlands,2025-02-01,Feb-2025,D8,Netherlands,
PV870354.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/11.25/3[D8],Homo sapiens,Netherlands,2025-03-14,14-Mar-2025,D8,Netherlands,
PV870353.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/7.25[D8],Homo sapiens,Netherlands,2025-02-19,19-Feb-2025,D8,Netherlands,
PV870352.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/1.25/2[D8],Homo sapiens,Netherlands,2025-01-04,04-Jan-2025,D8,Netherlands,
PV870351.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Holland.NLD/14.25[D8],Homo sapiens,Netherlands,2025-04-07,07-Apr-2025,D8,Netherlands,
PV870350.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/12.25[D8],Homo sapiens,Netherlands,2025-03-17,17-Mar-2025,D8,Netherlands,
PV870349.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/11.25/2[D8],Homo sapiens,Netherlands,2025-03-14,14-Mar-2025,D8,Netherlands,
PV870348.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/10.25[D8],Homo sapiens,Netherlands,2025-03-05,05-Mar-2025,D8,Netherlands,
PV870347.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/9.25/3[D8],Homo sapiens,Netherlands,2025-03-03,03-Mar-2025,D8,Netherlands,
PV870346.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/9.25[D8],Homo sapiens,Netherlands,2025-02-25,25-Feb-2025,D8,Netherlands,
PV870345.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/8.25/4[D8],Homo sapiens,Netherlands,2025-02-25,25-Feb-2025,D8,Netherlands,
PV870344.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/9.25/2[D8],Homo sapiens,Netherlands,2025-02-26,26-Feb-2025,D8,Netherlands,
PV870343.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/8.25/3[D8],Homo sapiens,Netherlands,2025-02-24,24-Feb-2025,D8,Netherlands,
PV870342.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/8.25/2[D8],Homo sapiens,Netherlands,2025-02-19,19-Feb-2025,D8,Netherlands,
PV870341.1,Measles virus genotype D8,,genotype: D8,MVs/Friesland.NLD/4.25[D8],Homo sapiens,Netherlands,2025-01-22,22-Jan-2025,D8,Netherlands,
PV870340.1,Measles virus genotype D8,,genotype: D8,MVs/Friesland.NLD/5.25[D8],Homo sapiens,Netherlands,2025-02-13,13-Feb-2025,D8,Netherlands,
PV870339.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/3.25[D8],Homo sapiens,Netherlands,2025-01-16,16-Jan-2025,D8,Netherlands,
