	summarized	lineages	abundances	resid	coverage
GCA_031112925.1_0_GCA_031128185.1_1_variants.tsv	[('Other', 0.9999999999947301)]	MEASLESgenome-H1	1.00000000	38.09122385947258	67.03158424562729
GCA_031112925.1_0.9_GCA_031128135.1_0.1_variants.tsv	[('Other', 0.9999999999920947)]	MEASLESgenome-A MEASLESgenome-D5 MEASLESgenome-D6	0.90714300 0.09027780 0.00257920	27.917566588766462	94.21165219579716
GCA_031112925.1_0.4_GCA_031128135.1_0.6_variants.tsv	[('Other', 0.9999999998926865)]	MEASLESgenome-D5 MEASLESgenome-A	0.60000000 0.40000000	32.85498648403892	94.20536051340129
GCA_031112925.1_0.6_GCA_031128145.1_0.4_variants.tsv	[('Other', 0.9999999999603799)]	MEASLESgenome-A MEASLESgenome-D8 MEASLESgenome-D6	0.60000000 0.38011700 0.01988300	39.89754120327734	93.20498301245753
GCA_031128145.1_0.2_GCA_031128185.1_0.8_variants.tsv	[('Other', 0.999999999953081)]	MEASLESgenome-H1 MEASLESgenome-D8	0.77777800 0.22222200	132.72887575540307	84.05687680885869
GCA_031112925.1_0_GCA_031128145.1_1_variants.tsv	[('Other', 0.9999999999651787)]	MEASLESgenome-D8	1.00000000	31.73787897680699	84.9502957090726
GCA_031128155.1_0.7_GCA_031129565.1_0.3_variants.tsv	[('Other', 0.9999999999810821)]	MEASLESgenome-B3 MEASLESgenome-D9	0.67692300 0.32307700	127.8294080286353	89.63130741160187
GCA_031128135.1_1_GCA_031128185.1_0_variants.tsv	[('Other', 0.9999999999993087)]	MEASLESgenome-D5	1.00000000	2.51921306799411	90.24789228639739
GCA_031128145.1_0.6_GCA_031129565.1_0.4_variants.tsv	[('Other', 1.0000000003038862)]	MEASLESgenome-D8 MEASLESgenome-D9	0.61538500 0.38461500	92.66212990636416	95.06732100163583
GCA_031128165.1_0.2_GCA_031128115.1_0.8_variants.tsv	[('Other', 0.9999999988884146)]	MEASLESgenome-D4 MEASLESgenome-D3	0.80000000 0.20000000	69.79291441132531	97.6532024663395
GCA_031128165.1_0_GCA_031129565.1_1_variants.tsv	[('Other', 0.9999999999999167)]	MEASLESgenome-D9	1.00000000	2.685368763284954	76.11048194287153
GCA_031128155.1_0.7_GCA_031128135.1_0.3_variants.tsv	[('Other', 0.9999999989987582)]	MEASLESgenome-B3 MEASLESgenome-D5	0.66666700 0.33333300	115.24769396046482	93.38115011954197
GCA_031128135.1_0.2_GCA_031129565.1_0.8_variants.tsv	[('Other', 0.9999999999949838)]	MEASLESgenome-D9 MEASLESgenome-D5	0.80000000 0.20000000	61.68595661039781	94.79677865861332
GCA_031129565.1_0.7_GCA_031128185.1_0.3_variants.tsv	[('Other', 0.9999999999466015)]	MEASLESgenome-D9 MEASLESgenome-H1	0.72000000 0.28000000	158.61753272371885	89.71939096514409
GCA_031128155.1_1_GCA_031128115.1_0_variants.tsv	[('Other', 0.9999999999943358)]	MEASLESgenome-B3	1.00000000	24.560379302014816	75.80848118786963
GCA_031112925.1_0.8_GCA_031129565.1_0.2_variants.tsv	[('Other', 1.000000000039862)]	MEASLESgenome-A MEASLESgenome-D9 MEASLESgenome-D6	0.81818200 0.17391300 0.00790500	51.3831813406164	96.21240719768466
GCA_031128155.1_0.2_GCA_031128135.1_0.8_variants.tsv	[('Other', 0.9999999999798499)]	MEASLESgenome-D5 MEASLESgenome-B3	0.83333300 0.16666700	51.65618594016763	92.04731345161696
GCA_031128165.1_0_GCA_031128115.1_1_variants.tsv	[('Other', 0.9999999999899933)]	MEASLESgenome-D4	1.00000000	37.31609381749831	91.82710456776142
GCA_031128155.1_1_GCA_031129565.1_0_variants.tsv	[('Other', 0.9999999999943358)]	MEASLESgenome-B3	1.00000000	24.560379302014816	75.80848118786963
GCA_031129565.1_0.2_GCA_031128185.1_0.8_variants.tsv	[('Other', 0.9999999998485608)]	MEASLESgenome-H1 MEASLESgenome-D9	0.79881700 0.20118300	162.8324841952945	87.56763558575562
GCA_031112925.1_0.5_GCA_031129565.1_0.5_variants.tsv	[('Other', 0.9999999995695136)]	MEASLESgenome-A MEASLESgenome-D9	0.50000000 0.50000000	76.64597760922975	97.38266012331698
GCA_031112925.1_0.3_GCA_031128115.1_0.7_variants.tsv	[('Other', 0.9999999996693653)]	MEASLESgenome-D4 MEASLESgenome-A MEASLESgenome-D6	0.68254000 0.31428600 0.00317400	66.53828219811453	97.5147854536303
GCA_031128135.1_0.7_GCA_031129565.1_0.3_variants.tsv	[('Other', 0.9999999999983975)]	MEASLESgenome-D5 MEASLESgenome-D9	0.70000000 0.30000000	57.47035318373566	95.1679879199698
GCA_031112925.1_0.5_GCA_031128135.1_0.5_variants.tsv	[('Other', 0.99999999997325)]	MEASLESgenome-D5 MEASLESgenome-A	0.50000000 0.50000000	19.58488043108099	94.14873537183843
